numero;despacho;data
102016015127;9.2;2022-01-18
102016015152;9.1;2022-01-25
102016015210;9.1;2022-01-18
102016015253;9.2;2022-01-04
102016015507;11.2;2022-01-18
102016017286;9.1;2022-01-18
102016017869;9.1;2022-01-04
102016018864;9.1;2022-01-04
102016018975;9.1;2022-01-04
102016019228;9.1;2022-01-04
102016019466;11.2;2022-01-18
102016021027;9.1;2022-01-04
102016022173;9.1;2022-01-25
102016022292;11.2;2022-01-18
102016022548;9.1;2022-01-11
102016023885;9.2;2022-01-04
102016024331;9.1;2022-01-25
102016025113;11.2;2022-01-18
102016026320;11.2;2022-01-18
102016026768;9.1;2022-01-04
102016027167;9.1;2022-01-11
102016027559;11.2;2022-01-11
102016030755;9.1;2022-01-18
102017001313;9.2;2022-01-25
102017001318;9.2;2022-01-25
102017001322;9.2;2022-01-25
102017001576;9.1;2022-01-25
102017001841;9.2;2022-01-11
102017001864;9.2;2022-01-11
102017002252;9.1;2022-01-11
102017003826;9.1;2022-01-25
102017003941;11.2;2022-01-25
102017004699;9.1;2022-01-25
102017005043;9.2;2022-01-25
102017005275;11.2;2022-01-11
102017005626;9.1;2022-01-04
102017006458;9.1;2022-01-25
102017006532;9.1;2022-01-04
102017006742;11.2;2022-01-11
102017007412;9.1;2022-01-18
102017007829;9.1;2022-01-25
102017007921;9.1;2022-01-18
102017007939;9.1;2022-01-18
102017008535;9.1;2022-01-25
102017012140;9.1;2022-01-11
102017013204;11.2;2022-01-11
102017013209;11.2;2022-01-11
102017013315;9.1;2022-01-04
102017016881;9.1;2022-01-04
102017021579;11.2;2022-01-11
102017023258;9.1;2022-01-25
102018006028;9.2;2022-01-18
102018011471;9.2;2022-01-11
102018011540;9.1;2022-01-11
102018069281;9.1;2022-01-18
102018071412;9.1;2022-01-25
102018074324;9.1;2022-01-25
102018076901;9.2;2022-01-25
102019013567;9.1;2022-01-04
102019014753;9.2;2022-01-25
102019022506;9.1;2022-01-25
102019022710;9.1;2022-01-11
102019024838;9.2;2022-01-11
102019024934;9.1;2022-01-18
102020007040;9.2;2022-01-11
102020021699;9.1;2022-01-25
102020025921;9.1;2022-01-18
102020026324;9.2;2022-01-18
102021003363;9.1;2022-01-18
102021006677;9.1;2022-01-11
102021012622;9.1;2022-01-11
112012001016;9.2;2022-01-11
112012001491;9.1;2022-01-04
112012001819;9.2;2022-01-18
112012003739;9.2;2022-01-11
112012005387;9.1;2022-01-25
112012006029;9.1;2022-01-18
112012006931;9.1;2022-01-11
112012007175;9.1;2022-01-18
112012007269;9.1;2022-01-25
112012007273;11.2;2022-01-11
112012007420;9.2;2022-01-11
112012008640;9.2;2022-01-18
112012009014;9.1;2022-01-11
112012011021;9.1;2022-01-25
112012011315;9.1;2022-01-25
112012011336;9.2;2022-01-04
112012011830;9.1;2022-01-25
112012011980;11.2;2022-01-25
112012013817;9.1;2022-01-25
112012014573;9.1;2022-01-11
112012014685;9.2;2022-01-18
112012016323;9.1;2022-01-25
112012016742;11.2;2022-01-04
112012017150;9.1;2022-01-04
